timestamp,robot_state,servo_on,emergency_stopped,safety_stopped,joint_position,joint_velocity,joint_current,joint_temperature,joint_torque,task_position,task_orientation
2026-05-28 11:04:06.422858,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -627.0, -93.0, 158.0]","[45.0, 43.0, 47.0, 55.0, 53.0, 57.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:07.461628,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -627.0, -93.0, 158.0]","[45.0, 43.0, 46.0, 55.0, 54.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:08.500821,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -627.0, -93.0, 158.0]","[45.0, 43.0, 46.0, 56.0, 54.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:09.541678,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -627.0, -93.0, 158.0]","[45.0, 44.0, 46.0, 55.0, 53.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:10.588955,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -627.0, -93.0, 158.0]","[45.0, 43.0, 46.0, 55.0, 53.0, 55.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:11.622773,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -627.0, -93.0, 158.0]","[46.0, 43.0, 46.0, 55.0, 53.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:12.656351,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -627.0, -93.0, 158.0]","[46.0, 43.0, 46.0, 55.0, 53.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:13.694404,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -627.0, -93.0, 158.0]","[45.0, 44.0, 46.0, 56.0, 53.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:14.730257,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -627.0, -93.0, 158.0]","[45.0, 44.0, 47.0, 56.0, 53.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:15.767304,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -627.0, -93.0, 158.0]","[45.0, 43.0, 46.0, 56.0, 53.0, 55.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:16.809061,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -627.0, -93.0, 158.0]","[45.0, 43.0, 46.0, 56.0, 53.0, 55.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:17.855703,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -627.0, -93.0, 158.0]","[45.0, 44.0, 46.0, 55.0, 53.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:18.895148,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -627.0, -93.0, 158.0]","[45.0, 44.0, 47.0, 55.0, 54.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:19.934449,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -627.0, -93.0, 158.0]","[45.0, 44.0, 46.0, 55.0, 53.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:20.972252,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -627.0, -93.0, 158.0]","[46.0, 43.0, 46.0, 56.0, 53.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:22.003894,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -627.0, -93.0, 158.0]","[46.0, 43.0, 46.0, 56.0, 53.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:23.037349,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -627.0, -93.0, 158.0]","[45.0, 43.0, 46.0, 55.0, 53.0, 55.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:24.072364,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -627.0, -93.0, 158.0]","[45.0, 43.0, 46.0, 55.0, 53.0, 54.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:25.110234,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -627.0, -93.0, 158.0]","[45.0, 43.0, 46.0, 55.0, 53.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:26.146677,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -627.0, -93.0, 158.0]","[46.0, 44.0, 46.0, 55.0, 53.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:27.182206,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -627.0, -93.0, 158.0]","[45.0, 43.0, 46.0, 55.0, 54.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:28.218369,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -627.0, -93.0, 158.0]","[45.0, 44.0, 46.0, 55.0, 53.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:29.260277,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -624.0, -93.0, 158.0]","[45.0, 43.0, 46.0, 55.0, 54.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:30.297053,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -624.0, -93.0, 158.0]","[45.0, 43.0, 46.0, 55.0, 53.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:31.315076,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -624.0, -93.0, 158.0]","[46.0, 43.0, 47.0, 55.0, 53.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:32.359696,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -624.0, -93.0, 158.0]","[46.0, 43.0, 46.0, 56.0, 53.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:33.398281,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -624.0, -93.0, 158.0]","[45.0, 43.0, 46.0, 56.0, 54.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:34.436079,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -624.0, -93.0, 158.0]","[44.0, 43.0, 46.0, 56.0, 53.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:35.469358,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -624.0, -93.0, 158.0]","[45.0, 43.0, 46.0, 56.0, 53.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:36.509438,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -624.0, -93.0, 158.0]","[46.0, 43.0, 46.0, 56.0, 53.0, 55.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:37.549460,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -624.0, -93.0, 158.0]","[45.0, 44.0, 47.0, 55.0, 53.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:38.589777,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -624.0, -93.0, 158.0]","[46.0, 43.0, 47.0, 55.0, 54.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:39.628207,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -624.0, -93.0, 158.0]","[46.0, 43.0, 46.0, 55.0, 53.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:40.675268,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -624.0, -93.0, 158.0]","[46.0, 44.0, 46.0, 56.0, 54.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:41.704295,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -624.0, -93.0, 158.0]","[46.0, 43.0, 46.0, 55.0, 53.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:42.740972,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -624.0, -93.0, 158.0]","[46.0, 44.0, 46.0, 56.0, 53.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:43.783976,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -624.0, -93.0, 158.0]","[46.0, 44.0, 47.0, 55.0, 53.0, 55.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
2026-05-28 11:04:44.826424,STANDALONE RUNNING,True,False,False,"[0.0, 0.0, 90.0, 0.0, 90.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-48.0, 2722.0, -3266.0, -624.0, -93.0, 158.0]","[45.0, 44.0, 46.0, 56.0, 53.0, 56.0]","[0.0, -2.7, -2.8, 0.4, 0.0, 0.0]","[367.6, 7.5, 196.5]","[90.1, 180.0, 89.9]"
